mode,precision,layer,depth,head,query_cosine_d5,memory_raw_logit,memory_effective_logit,memory_vs_max_other,memory_attention_weight,fixed_d5_query_content_logit,fixed_d5_query_memory_minus_blank_logit
combined-no-decay,bf16,1,7,4,0.9999720335565527,9.291796684265137,8.887304306030273,27.65484619140625,0.9999997019767761,9.228362156054937,13.221433469443582
combined-no-decay,bf16,1,7,5,0.9999656280955114,-3.0735716819763184,-1.2031371593475342,-100.4709701538086,0.20000000298023224,-3.1008872971637174,0.20942668581847101
combined-no-decay,bf16,1,7,6,0.9999432094322316,-11.318646430969238,-12.857019424438477,-16.061473846435547,0.4522849917411804,-11.268294551518192,9.77589262283127
combined-no-decay,bf16,1,7,7,0.9999471694934984,0.0645788162946701,0.41347503662109375,-47.564796447753906,0.05613838508725166,0.06427270694111939,-0.16168303076992743
combined-no-decay,bf16,0,8,0,1.0,-0.033782958984375,0.375732421875,-4.602104187011719,0.007134364452213049,-0.033776679541915655,-0.0014123930595815182
combined-no-decay,bf16,0,8,1,1.0000000000000002,-3.4580078125,-4.830078125,-31.00541114807129,1.2114665824333737e-12,-3.458711547369603,-0.5729084532358684
combined-no-decay,bf16,0,8,2,1.0000000000000002,0.256103515625,0.0380859375,-0.2915891706943512,0.3155103623867035,0.25606616772711277,0.0005052629858255386
combined-no-decay,bf16,0,8,3,1.0,-6.75390625,-6.02734375,-8.196093559265137,0.0030427509918808937,-6.749605320394039,0.04233906418085098
combined-no-decay,bf16,0,8,4,1.0000000000000002,-1.1875,0.150390625,-5.312109470367432,0.2999959886074066,-1.1853501200675964,-0.0013894438743591309
combined-no-decay,bf16,0,8,5,1.0000000000000002,-8.359375,-8.01171875,-10.791406631469727,1.4136772733763792e-05,-8.34571985900402,0.004129126667976379
combined-no-decay,bf16,0,8,6,1.0000000000000002,-0.118011474609375,-0.118621826171875,-0.290496826171875,0.28498056530952454,-0.11806603893637657,0.0006281472742557526
combined-no-decay,bf16,0,8,7,0.9999999999999998,-0.4239501953125,0.95263671875,-7.934863090515137,0.30000001192092896,-0.42433479707688093,-0.00017302017658948898
combined-no-decay,bf16,1,8,0,0.9997507263339583,1.92413330078125,0.6777282953262329,-2.991802930831909,0.4000064432621002,1.981924748212259,7.429953367799681
combined-no-decay,bf16,1,8,1,0.9997540932268245,1.128320336341858,1.4393870830535889,-31.719043731689453,0.30000001192092896,1.2579572740214644,5.953429925368982
combined-no-decay,bf16,1,8,2,0.9999290797018526,3.3265380859375,3.6778807640075684,1.5497337579727173,0.49993985891342163,3.3375734482440746,7.808269062686304
combined-no-decay,bf16,1,8,3,0.9997703713808939,-9.174115180969238,-6.667309761047363,-145.4266815185547,2.0571061456288315e-42,-8.976533183269202,0.09297718089073896
combined-no-decay,bf16,1,8,4,0.9999416707004171,4.671063423156738,4.273364067077637,22.975421905517578,0.9998444318771362,4.65352533821715,8.528991042613052
combined-no-decay,bf16,1,8,5,0.999923920850678,-3.2260193824768066,-1.3676605224609375,-100.74310302734375,0.20000000298023224,-3.26038276203908,-0.10818277890793979
combined-no-decay,bf16,1,8,6,0.999879904869972,-9.831634521484375,-11.375353813171387,-14.783899307250977,0.45618733763694763,-9.75218220487197,5.4450627827163585
combined-no-decay,bf16,1,8,7,0.9998836061429872,0.3225440979003906,0.671991229057312,-47.46868133544922,0.046022068709135056,0.3177582562653697,0.03668480081105372
combined-no-decay,fp32,0,2,0,0.9999999999999998,-0.6693537831306458,-0.2601126730442047,-5.237256050109863,0.004435422830283642,-0.6693537134413828,-0.10564612383687952
combined-no-decay,fp32,0,2,1,1.0000000000000002,-21.29877281188965,-22.674463272094727,-48.770591735839844,6.474207393878783e-16,-21.29877157720906,-5.907616688309813
