mode,precision,layer,depth,quantity,raw_norm,signal_norm,signal_norm_ratio_d2,signal_cosine_d2,signal_cosine_previous,transform_cosine_pre_post
combined-no-decay,fp32,1,4,v,53.702140152715714,52.702126614848865,0.9411769711300373,0.43368385153382294,0.5122107630464863,0.5167689628440975
combined-no-decay,fp32,0,5,k,19.86252152020758,8.793850745692964,0.14421076175716946,0.07308690577678922,0.11878158949011601,0.17408987367059411
combined-no-decay,fp32,0,5,v,31.559843070270603,8.009676038364116,0.14444097238247824,-0.01926775128263601,0.046144049602424866,-0.006364534193887123
combined-no-decay,fp32,1,5,k,40.280609291394185,47.10297954297076,0.8002593530164226,0.4577684649819941,0.5531196065593174,0.5653335902516593
combined-no-decay,fp32,1,5,v,52.96433371203455,52.16936407139987,0.9317602509516016,0.37949198351362656,0.5228968658910967,0.5293646380341537
combined-no-decay,fp32,0,6,k,16.869725821124497,4.480601612626023,0.07084302039408397,0.03390173727255742,0.45017802519570504,0.3231217971287956
combined-no-decay,fp32,0,6,v,29.084737194262985,4.040392976764473,0.06924010130968293,0.06059847867095296,0.08354054936045935,0.002378499033224046
combined-no-decay,fp32,1,6,k,39.7152870130001,45.75299601736508,0.777072675645128,0.41420526140245284,0.5520209837926067,0.5557769472035194
combined-no-decay,fp32,1,6,v,52.707019427805506,51.98856865453142,0.9285308653207981,0.29438153457610705,0.5330613659817225,0.5349602162799684
combined-no-decay,fp32,0,7,k,15.257051763591367,2.469230936167337,0.038609716615309334,0.03043286435114758,0.6077317137704867,0.5555407130585832
combined-no-decay,fp32,0,7,v,27.285472025066156,2.2345993937128767,0.0375513060902868,0.015554977840341131,0.3855183702185657,0.3108336405017309
combined-no-decay,fp32,1,7,k,36.35166013943983,41.988844439511126,0.715025344741747,0.3730031761021476,0.5501496780674444,0.5688423929675153
combined-no-decay,fp32,1,7,v,50.103523841095154,49.52409482838728,0.8846516448954785,0.22815514204402,0.5358793565663313,0.5426498397582046
combined-no-decay,fp32,0,8,k,14.22705477838029,1.6233113060006312,0.025115437629936628,0.0459162692965652,0.7203039184815764,0.6992474529745036
combined-no-decay,fp32,0,8,v,25.843593754589165,1.4380675264973213,0.02376903219245742,0.05303221720118423,0.5802813943367251,0.5435600365549925
combined-no-decay,fp32,1,8,k,36.168771310839446,41.46146622209898,0.7058624235712895,0.33969426943030645,0.5602025139884952,0.5598532531656016
combined-no-decay,fp32,1,8,v,49.934760413746574,49.441986573611366,0.883169623649252,0.22972507341135606,0.5433930162869819,0.5438620236515945
