precision,layer,head,depth,identity_distance_fro_normalized,orthogonality_max_abs,first_child_cosine_before_after_U0
fp32,1,4,5,1.4042293957709897,4.440892098500626e-16,0.71211661586401
fp32,1,4,6,1.4042293957709897,4.440892098500626e-16,0.7121165465401322
fp32,1,4,7,1.4042293957709897,4.440892098500626e-16,0.7121156724628543
fp32,1,4,8,1.4042293957709897,4.440892098500626e-16,0.7121156735454521
fp32,1,5,2,1.412158265638769,4.440892098500626e-16,0.2672083774522368
fp32,1,5,3,1.412158265638769,4.440892098500626e-16,0.2731324596780464
fp32,1,5,4,1.412158265638769,4.440892098500626e-16,0.2982634867549929
fp32,1,5,5,1.412158265638769,4.440892098500626e-16,0.44945522687053563
fp32,1,5,6,1.412158265638769,4.440892098500626e-16,0.78988547255603
fp32,1,5,7,1.412158265638769,4.440892098500626e-16,0.8435477958537356
fp32,1,5,8,1.412158265638769,4.440892098500626e-16,0.9245992905541883
fp32,1,6,2,1.383728813959134,6.661338147750939e-16,0.010156194571922506
fp32,1,6,3,1.383728813959134,6.661338147750939e-16,0.6593091638567494
fp32,1,6,4,1.383728813959134,6.661338147750939e-16,0.6593091618509688
fp32,1,6,5,1.383728813959134,6.661338147750939e-16,0.6593091616509175
fp32,1,6,6,1.383728813959134,6.661338147750939e-16,0.6593091626180125
fp32,1,6,7,1.383728813959134,6.661338147750939e-16,0.6593091632370764
fp32,1,6,8,1.383728813959134,6.661338147750939e-16,0.6583374066771834
fp32,1,7,2,1.408195522456469,6.661338147750939e-16,0.09105588621285698
fp32,1,7,3,1.408195522456469,6.661338147750939e-16,0.12191498905549178
fp32,1,7,4,1.408195522456469,6.661338147750939e-16,0.19293305602074368
fp32,1,7,5,1.408195522456469,6.661338147750939e-16,0.2276055604678615
fp32,1,7,6,1.408195522456469,6.661338147750939e-16,0.5749111605208385
fp32,1,7,7,1.408195522456469,6.661338147750939e-16,0.8208051933498236
fp32,1,7,8,1.408195522456469,6.661338147750939e-16,0.9151445738101207
